PerformanceName,AttributeName,Value
Perf_1,nMovements,11
Perf_1,movementsDifficulty,2
Perf_1,AItechnique,searchStartegy
Perf_1,robotSpeech,1
Perf_1,acrobaticMovements,0
Perf_1,movementsRepetition,1
Perf_1,musicGenre,Electronic
Perf_1,movementsTransitionsDuration,2
Perf_1,humanMovements,3
Perf_1,balance,3
Perf_1,speed,1
Perf_1,bodyPartsCombination,2
Perf_1,musicBPM,127
Perf_1,sameStartEndPositionPlace,0
Perf_1,headMovement,2
Perf_1,armsMovement,3
Perf_1,handsMovement,2
Perf_1,legsMovement,2
Perf_1,feetMovement,1
Perf_2,nMovements,6
Perf_2,movementsDifficulty,2
Perf_2,AItechnique,planning
Perf_2,robotSpeech,0
Perf_2,acrobaticMovements,0
Perf_2,movementsRepetition,3
Perf_2,musicGenre,Rap
Perf_2,movementsTransitionsDuration,3
Perf_2,humanMovements,2
Perf_2,balance,3
Perf_2,speed,1
Perf_2,bodyPartsCombination,1
Perf_2,musicBPM,136
Perf_2,sameStartEndPositionPlace,1
Perf_2,headMovement,1
Perf_2,armsMovement,2
Perf_2,handsMovement,2
Perf_2,legsMovement,2
Perf_2,feetMovement,1
Perf_3,nMovements,9
Perf_3,movementsDifficulty,1
Perf_3,AItechnique,searchStartegy
Perf_3,robotSpeech,1
Perf_3,acrobaticMovements,0
Perf_3,movementsRepetition,2
Perf_3,musicGenre,Rock
Perf_3,movementsTransitionsDuration,2
Perf_3,humanMovements,3
Perf_3,balance,3
Perf_3,speed,2
Perf_3,bodyPartsCombination,1
Perf_3,musicBPM,156
Perf_3,sameStartEndPositionPlace,1
Perf_3,headMovement,3
Perf_3,armsMovement,2
Perf_3,handsMovement,2
Perf_3,legsMovement,2
Perf_3,feetMovement,2
Perf_4,nMovements,8
Perf_4,movementsDifficulty,1
Perf_4,AItechnique,planning
Perf_4,robotSpeech,0
Perf_4,acrobaticMovements,0
Perf_4,movementsRepetition,3
Perf_4,musicGenre,Folk
Perf_4,movementsTransitionsDuration,3
Perf_4,humanMovements,2
Perf_4,balance,1
Perf_4,speed,1
Perf_4,bodyPartsCombination,1
