PerformanceName;Duration;Year;Link
Just Dance It;60;2022;https://drive.google.com/file/d/1JSNFXgMbSxrLpPYXXrDOKL533CIrxrTv/preview
wall-e short;65;2022;https://drive.google.com/file/d/1_0yXxZv1HI4KjVvLRCq5tFrSUyr9WGxW/preview
Don t Stop me NAO;59;2022;https://drive.google.com/file/d/1nQBkXpeS8CGUa6tVHN8NeiIo-0dGqBK6/preview
Lucys Choreographers;63;2022;https://drive.google.com/file/d/1iXe501zmGQOV_9a30a1HcWKYxjQL1P4y/preview
SML;75;2022;https://drive.google.com/file/d/1Td9rW-_2cXwJqt-bswRI-IhED_SEPoRM/preview
Silk Sonic;60;2022;https://drive.google.com/file/d/1izH6HyqqJ96DRSiCTHz1OTOcx6jD34Mi/preview
danceBot;58;2022;https://drive.google.com/file/d/1MGkqhK9kVrcnVD2BOZR0sOTFAmQ8B884/preview
A Nao Rhythm;60;2022;https://drive.google.com/file/d/1sUiGnWcePO_doXGCbOZNTDjc5d4K1e0c/preview
Will.A.I.;60;2022;https://drive.google.com/file/d/1v4CPB1AfcADS43dtGkG32o3eJwQ6otYf/preview
AlphaTeam;68;2022;https://drive.google.com/file/d/1uHvi4fEUUZHhwoZkwDEOMkZyWYIWORXX/preview
RCD;60;2022;https://drive.google.com/file/d/13pUUAWLezICY_J05Sf6vOmIzVJTQrqOI/preview
