UserID,UserBg,PerformanceName,Question,Answer
993,Stem,Perf_1,The choreography links well with the music and the rhythm,2
993,Stem,Perf_1,The transition between one pose and the next are smooth and not forced,4
993,Stem,Perf_1,The interpreter is able to involve the public,4
993,Stem,Perf_1,The intepreter makes a satisfying use of the space,5
993,Stem,Perf_1,The movements performed during the choreography are so natural that resemble human ones,3
993,Stem,Perf_1,A human dancer would be able to easily reproduce the choreography,5
994,Stem,Perf_1,The choreography links well with the music and the rhythm,2
994,Stem,Perf_1,The transition between one pose and the next are smooth and not forced,2
994,Stem,Perf_1,The interpreter is able to involve the public,3
994,Stem,Perf_1,The intepreter makes a satisfying use of the space,1
994,Stem,Perf_1,The movements performed during the choreography are so natural that resemble human ones,1
994,Stem,Perf_1,A human dancer would be able to easily reproduce the choreography,3
995,Stem,Perf_1,The choreography links well with the music and the rhythm,4
995,Stem,Perf_1,The transition between one pose and the next are smooth and not forced,3
995,Stem,Perf_1,The interpreter is able to involve the public,3
995,Stem,Perf_1,The intepreter makes a satisfying use of the space,4
995,Stem,Perf_1,The movements performed during the choreography are so natural that resemble human ones,3
995,Stem,Perf_1,A human dancer would be able to easily reproduce the choreography,5
996,Stem,Perf_1,The choreography links well with the music and the rhythm,4
996,Stem,Perf_1,The transition between one pose and the next are smooth and not forced,4
996,Stem,Perf_1,The interpreter is able to involve the public,4
996,Stem,Perf_1,The intepreter makes a satisfying use of the space,2
996,Stem,Perf_1,The movements performed during the choreography are so natural that resemble human ones,3
996,Stem,Perf_1,A human dancer would be able to easily reproduce the choreography,4
997,Stem,Perf_1,The choreography links well with the music and the rhythm,4
997,Stem,Perf_1,The transition between one pose and the next are smooth and not forced,4
997,Stem,Perf_1,The interpreter is able to involve the public,3
997,Stem,Perf_1,The intepreter makes a satisfying use of the space,2
997,Stem,Perf_1,The movements performed during the choreography are so natural that resemble human ones,4
997,Stem,Perf_1,A human dancer would be able to easily reproduce the choreography,5
998,Stem,Perf_1,The choreography links well with the music and the rhythm,4
998,Stem,Perf_1,The transition between one pose and the next are smooth and not forced,4
998,Stem,Perf_1,The interpreter is able to involve the public,3
998,Stem,Perf_1,The intepreter makes a satisfying use of the space,4
998,Stem,Perf_1,The movements performed during the choreography are so natural that resemble human ones,3
998,Stem,Perf_1,A human dancer would be able to easily reproduce the choreography,3
999,Stem,Perf_1,The choreography links well with the music and the rhythm,2
999,Stem,Perf_1,The transition between one pose and the next are smooth and not forced,1
999,Stem,Perf_1,The interpreter is able to involve the public,4
999,Stem,Perf_1,The intepreter makes a satisfying use of the space,2
999,Stem,Perf_1,The movements performed during the choreography are so natural that resemble human ones,2
999,Stem,Perf_1,A human dancer would be able to easily reproduce the choreography,4
1000,Stem,Perf_1,The choreography links well with the music and the rhythm,5
1000,Stem,Perf_1,The transition between one pose and the next are smooth and not forced,4
1000,Stem,Perf_1,The interpreter is able to involve the public,5
